time,empl_manuf,industry_prod,cpi,ib_rate,real_income,unempl_rate,oil_price,ppi,construct,inv_index,real_wage,m2,rts,ex_rate
1995 Jan,144.63,94.311,4.17,822.7,82.4,7.9,20.7832409286,3.9189329581,400,63.7,69.53,90.9,NA,52.89
1995 Feb,144.97,93.275,4.63,233,80.8,8.1,21.5241540493,4.5801519298,600,88.2,66.75,98.7,NA,50.61
1995 Mar,144.52,99.493,5.04,243.8,88.9,8,21.3734598553,5.0736472865,3300,86.1,68.75,104,NA,47.26
1995 Apr,144.4,91.202,5.47,175,89.7,8.2,23.5334099699,5.8251791059,1200,88.8,67.38,119.4,NA,46.78
1995 May,143.73,92.239,5.9,87.5,90.6,8.3,23.0059802908,6.3412520312,1500,104.4,69.4,133.9,NA,49.84
1995 Jun,143.39,94.311,6.29,93.4,94.3,8.4,21.7878688889,6.7250818484,5000,115.4,72.87,151.7,NA,56.99
1995 Jul,142.87,92.239,6.63,209,91.4,8.5,19.9167493128,7.1766460869,1800,111.5,72.14,159.9,NA,61.7
1995 Aug,142.11,96.384,6.94,182.5,91.4,8.8,20.1804641524,7.6604650977,1800,115.5,71.85,168.4,NA,67.13
1995 Sep,141.26,95.348,7.24,91.4,92.4,8.9,20.9213772731,8.0959023789,3800,117.1,74.73,174.1,96.77,68.69
1995 Oct,140.31,98.457,7.59,39.6,86.8,9.2,20.2432533999,8.4668301157,1800,120.4,75.47,178.5,77.28,70.07
1995 Nov,139.56,94.311,7.93,38.7,87.7,9.1,21.1976499622,8.7087396211,1800,151.1,74.79,189.1,71.66,71.8
1995 Dec,138.43,95.348,8.18,68.6,97.3,9,22.5538977086,8.8700126247,18000,255.5,86.76,213.9,78.99,72.68
1996 Jan,135.43,96.384,8.52,36.5,81.8,9.1,22.5287820096,9.1555675488,400,83.5,73.75,210,84.58,73.85
1996 Feb,134.74,96.384,8.76,34,85,9.3,22.5664555581,9.4066839308,600,86.5,75.22,222.1,77.23,74.33
1996 Mar,135,102.81,9.01,97,88.4,9.2,25.1031411579,9.6510133836,3400,91.7,79.74,234.3,71.18,74.86
1996 Apr,136.12,98.768,9.2,44,90.2,9.5,26.3840418072,9.8817689778,1300,86.9,78.14,243.2,90.71,75.7
1996 May,131.92,93.793,9.35,35.6,83.9,9.6,24.0482817996,9.9835729165,1500,88.4,80.48,246.3,120.33,75.61
1996 Jun,131.44,93.275,9.46,89.3,90.6,9.6,22.9431910432,10.1532461475,4900,102,85.39,258.6,169.79,75.59
1996 Jul,130.57,93.275,9.53,56.3,89.7,9.7,24.6259428767,10.2754108739,1700,103.3,85.39,263.5,170.97,74.17
1996 Aug,129.63,95.348,9.5,37,90.6,9.7,25.0654676094,10.4858056804,1400,109.2,84.54,266.7,176.78,71.46
1996 Sep,128.16,95.348,9.53,47.1,87.9,9.8,27.7026160051,10.66905277,2500,117.7,86.23,267.4,171.95,70.87
1996 Oct,126.85,103.639,9.65,34.2,96.6,9.8,29.7369876247,10.9608907275,1300,109.2,84.51,270.1,177.3,71
1996 Nov,125.64,99.493,9.83,30.6,93.7,9.9,27.9788886942,11.0559077369,1600,118.1,81.97,273.5,188.14,71.15
1996 Dec,124.6,101.566,9.97,30.2,115.3,10,29.5360620327,11.144137817,13700,181.5,98.37,288.3,188.57,71.8
1997 Jan,123.05,99.493,10.2,21.1,89.5,10.1,29.4732727852,11.2663025434,400,68.2,76.73,289.9,257.24,74.04
1997 Feb,122.57,100.53,10.36,25.8,89.7,10.3,26.1580005162,11.4495496329,600,72.7,76.73,299.5,314.55,76.6
1997 Mar,121.95,105.712,10.51,32.4,92.2,10.5,24.1236288966,11.5988620763,3000,82.4,82.86,305.8,316.29,77.85
1997 Apr,121.17,101.566,10.61,28.2,99.5,10.7,21.9385630829,11.6938790857,1100,80.4,82.03,317.8,295.87,78.28
1997 May,120.51,97.421,10.71,14.8,91.7,10.9,24.0357239501,11.7481745196,1200,81.6,83.02,328.4,353.31,78.19
1997 Jun,119.85,98.457,10.82,16.1,100.7,10.9,22.039025879,11.843191529,3900,99.1,88.66,352,382.76,78.74
1997 Jul,119.43,100.53,10.93,14.3,96.5,10.9,23.1441166353,11.870339246,1500,101.2,88.4,363,485.47,80.14
1997 Aug,118.78,101.566,10.91,16.2,94.4,10.9,23.4706207224,11.92463468,1400,107.5,86.98,364.6,531.25,80.99
1997 Sep,117.75,102.602,10.88,15.6,92.6,11,23.1692323343,11.9449954677,3200,119,91.16,363,491.42,78.98
1997 Oct,117.04,107.784,10.9,18.2,94.7,11.1,25.1784882549,11.9517823969,1500,109.6,89.15,368.8,515.7,77.86
1997 Nov,117.04,105.712,10.96,20.5,93,11.2,23.859914057,11.9789301139,1900,117.6,87.91,357.4,374.86,78.14
1997 Dec,116.58,107.784,11.07,28.4,122,11.2,21.4739226513,11.9721431847,13000,188.2,106.01,374.1,368.37,80.11
1998 Jan,118.46,96.384,11.24,24.1,79.8,11.4,18.9497949011,12.0739471233,500,65.3,83.01,361.2,328.35,81.23
1998 Feb,118.37,97.421,11.34,30.3,82.8,11.6,17.6563364022,12.1418164157,600,69.6,82.51,362.9,303.94,81.39
1998 Mar,118.32,102.602,11.41,25.9,84.2,11.7,16.4256671508,12.1350294865,3100,76.3,88.29,360.4,337.91,81.3
1998 Apr,117.27,98.457,11.45,29.5,90.5,11.7,16.8149604854,12.1350294865,800,74.5,86.52,368,314.04,80.67
1998 May,116.39,91.202,11.51,47.6,82,11.5,18.0707454358,12.0332255478,1200,77.6,86.26,370,248.78,80.09
1998 Jun,115.77,92.239,11.52,56.1,83.9,11.3,15.1447665014,12.0332255478,3400,93,92.21,368.6,180.33,80.32
1998 Jul,114.97,87.057,11.54,58.8,85.7,11.3,15.1196508024,11.9314216092,1200,96.1,90.74,359.4,158.72,80.32
1998 Aug,113.93,86.02,11.97,45.3,83.2,11.6,14.9187252104,11.7888960951,1400,102.3,83.48,343.6,103.46,77.18
1998 Sep,112.84,83.947,16.56,139.7,68.3,11.9,16.7772869369,12.6644099674,3100,97.7,63.44,365.8,56.06,49.55
1998 Oct,112.03,92.239,17.31,84.9,77.4,12.3,15.7726589766,13.4041852549,1200,90.4,60.97,377.6,51.07,45.7
1998 Nov,111.41,92.239,18.29,36.7,72.8,12.8,13.713171658,14.0828781792,1900,96.7,59.81,396.9,63.47,47.14
1998 Dec,110.84,96.384,20.41,27.8,89.3,13.2,12.3066925136,14.7547841743,12300,142.5,67.89,448.3,61.16,43.37
1999 Jan,110.23,61.872,22.12,28.1,58.6,12.2,13.7508452065,15.77961049,700,60.6,49.22,444.2,57.29,42.78
1999 Feb,110.48,58.141,23.04,20.4,62.9,14.6,12.8090064938,16.6551243623,900,65.7,48.77,463.9,64.34,44.76
1999 Mar,110.71,65.707,23.68,20.7,65.5,14.1,15.2201135985,17.2998826404,2500,73,54.48,473.8,79.71,46.37
1999 Apr,110.86,61.769,24.41,15.2,70.2,13.4,19.0376998476,17.93106706,1000,71,54.48,509.6,78,45.75
1999 May,110.85,57.83,24.94,7.1,66.7,12.7,19.1130469446,18.5758253381,1100,77.5,55.13,542.4,96.46,47.14
1999 Jun,111.3,58.245,25.42,8.4,69.5,12.3,19.5902452258,19.2613051916,3400,96.3,59.38,567.7,114.64,48.68
1999 Jul,111.75,60.214,26.13,9,68.2,12.1,23.4957364214,19.8653418943,1200,98.8,57.54,583.2,133.55,50.37
1999 Aug,111.07,60.525,26.44,9.3,71.3,12,25.3291824489,20.8019381298,1300,105,56.45,590.8,107.12,49.6
1999 Sep,111.77,62.909,26.83,18.2,70.6,12.1,27.7654052527,22.037159252,3400,109.3,58.2,597.4,92.31,48.44
1999 Oct,111.91,63.738,27.2,16.1,72.3,12.4,27.7779631022,23.2520195865,1600,103.9,58.43,625.1,94.56,47.76
1999 Nov,112.07,64.982,27.53,13.2,73,12.6,30.8295205316,24.1546811759,2200,108.4,60.18,646.5,111.38,47.39
1999 Dec,112.3,80.838,27.88,11.8,99.3,12.4,31.9974005354,24.6840616568,12700,174.8,74.87,704.7,130.64,47.05
2000 Jan,112.24,69.006,28.52,11.8,60.2,12.2,31.6708964483,25.6817402555,900,65.4,60.57,695,188.92,45.29
2000 Feb,112.92,66.506,28.82,11.3,71.3,12.1,34.6973381787,26.6319103496,1100,76.2,60.2,726.6,179.22,45.72
2000 Mar,113.36,71.306,29,6.5,77.2,11.4,34.4964125866,27.3241771323,2100,84.5,65.56,751.4,216.38,46.6
2000 Apr,113.4,73.406,29.26,11.1,78.3,10.8,28.3053927813,27.7517536746,1200,82.7,65.69,787.9,217.04,47.3
2000 May,113.39,64.605,29.78,7.6,75.9,10.2,34.4085076401,28.2336256509,1400,94.6,66.41,831.6,203.33,49.94
2000 Jun,113.68,65.605,30.54,5.1,81,10.1,37.2716973269,28.8851708582,3100,115.5,70.67,892.2,187.43,50.53
2000 Jul,114,66.006,31.08,3.4,78.4,10,35.802428935,29.85570174,1300,115.5,69.82,931.2,186.07,52.69
2000 Aug,113.93,67.406,31.39,4.6,80.2,9.8,37.5354121665,30.3715083624,1400,128.4,68.77,960.1,224.24,54.49
2000 Sep,113.51,67.406,31.8,3.3,81.1,9.8,40.963705081,30.9416104189,3200,130.6,70.21,992.4,211.44,56.5
2000 Oct,113.55,71.606,32.47,5.2,79.8,9.8,38.8414285149,31.7764027157,1600,122.8,70.57,1001.2,194.09,58.01
2000 Nov,113.54,71.606,32.96,8.5,84,9.8,40.838126586,32.1700446118,2000,128.4,71.91,1036.4,175.32,58.82
2000 Dec,113.57,76.306,33.5,7.3,104.5,9.9,31.7462435453,32.4890302863,11000,198.2,85.42,1144.3,145.81,58.3
2001 Jan,113.12,69.306,34.42,5.4,67.2,10,32.1983261275,33.0985915493,1000,70.7,75.43,1079.3,163.1,57.89
2001 Feb,113.58,66.906,35.22,12.1,75.3,10.2,34.4210654896,33.4507042254,900,80.4,71.58,1109.7,170.69,59.17
2001 Mar,113.56,73.006,35.86,8.3,82.1,9.6,30.641152789,33.6854460094,2100,88.2,78.6,1149.5,173.06,60.77
2001 Apr,113.46,69.406,36.51,9,84.7,9.1,32.0853054819,33.9495305164,1200,88.7,76,1210,170.41,62.1
2001 May,112.94,69.106,37.15,6.9,79.1,8.6,35.727081838,34.3309859155,1300,105.6,78.06,1233.7,198.79,62.9
2001 Jun,112.94,68.406,37.77,13.2,88.9,8.6,34.8103588242,35.1819248826,3200,123.1,82.51,1294.3,216.34,64.31
2001 Jul,112.95,69.206,37.92,6.2,86.4,8.6,30.816962682,35.3873239437,1400,124.7,84.07,1330.2,203.11,64.01
2001 Aug,112.53,70.206,37.92,7.3,90.5,8.6,32.235999676,35.3579812207,1600,139.4,84.33,1365.5,197.61,62.94
2001 Sep,111.94,70.606,38.17,8.1,89.8,8.7,32.0727476324,35.2992957746,3600,143.1,84.41,1414.4,195.14,62.83
2001 Oct,111.67,76.406,38.57,7.3,89.9,8.8,25.7184757836,35.4460093897,2100,136.4,86.27,1441.2,189.77,63.39
2001 Nov,111.25,75.706,39.09,13.5,90.5,8.9,23.78456696,35.5046948357,2600,139.8,86.61,1439.1,220.3,63.93
2001 Dec,111,77.606,39.74,23.9,111.6,8.7,23.3576000769,35.3873239437,10700,220.9,108,1602.6,242.85,63.83
2002 Jan,110.85,71.906,40.97,10.7,75.4,8.6,24.4626908332,35.4753521127,1300,70.7,87.16,1502,286.5,64.87
2002 Feb,110.94,68.906,41.43,13.3,83.3,8.4,25.479876643,35.2699530516,1200,80.3,85.33,1522.9,291.78,65.44
2002 Mar,110.62,74.906,41.89,12.6,88.4,8.3,29.7495454742,35.2992957746,2300,91.1,91.39,1562.4,333.55,66.36
2002 Apr,110.06,72.106,42.35,9.7,98.8,8.3,32.210883977,36.0328638498,1500,91.8,92.03,1621.3,369.63,66.23
2002 May,109.37,68.906,43.09,5.2,85.1,8.2,31.9346112879,36.7957746479,1500,109,92.12,1686,399.88,65.9
2002 Jun,109.06,69.906,43.31,6.4,92.9,7.5,30.3020908524,37.9107981221,3400,127.2,97.55,1751.1,370.71,64.92
2002 Jul,108.73,73.206,43.61,13.4,97.5,7.3,32.361578171,38.8791079812,1700,129.6,99.7,1776.1,359.5,64
2002 Aug,108.04,74.006,43.64,4.9,98.3,7.1,33.4415532283,39.6420187793,1900,141.2,97.71,1812.5,336.43,64.43
2002 Sep,107.04,73.706,43.83,6.1,95,7.6,35.5889454934,40.0821596244,3700,146.9,97.51,1846.6,336.32,64.42
2002 Oct,106.56,78.807,44.29,6.8,104.6,8.1,34.5968753827,40.9037558685,2300,140.6,99.17,1884.6,350.49,64.97
2002 Nov,105.99,76.206,45.03,4.1,104.5,8.5,30.766731284,41.5786384977,2900,143.8,98.77,1930,353.45,64.99
2002 Dec,105.46,80.707,45.7,5.1,127.9,8.8,35.8149867845,41.6373239437,10100,227.8,118.92,2119.6,350.89,64.88
2003 Jan,104.36,75.406,46.81,7.3,88.1,9.3,39.293511097,41.8427230047,1700,76.3,95.85,2026.5,351.82,64.6
2003 Feb,104.27,74.506,47.58,2.5,99.1,9.6,41.0013786295,42.5176056338,1500,89.3,94.41,2108,366.41,65.22
2003 Mar,103.96,82.507,48.07,2.8,104.1,9.2,38.1005153942,43.1044600939,2400,101.1,98.95,2208.5,375.29,66.31
2003 Apr,103.36,80.207,48.56,2,108.2,8.8,31.4197394582,43.573943662,1700,103.4,100.13,2311.2,393.96,67.23
2003 May,102.61,76.406,48.93,1.3,102.9,8.5,32.411809569,43.573943662,1700,125.3,101.63,2432.4,445.75,66.09
