iter	Passed	Remaining
0	2	221
1	4	200
2	5	169
3	6	154
4	7	148
5	8	137
6	9	132
7	11	128
8	12	123
9	13	117
10	14	114
11	15	112
12	16	111
13	17	109
14	18	106
15	19	104
16	26	130
17	27	126
18	28	123
19	30	123
20	31	119
21	33	117
22	34	115
23	36	114
24	37	112
25	38	110
26	39	107
27	40	105
28	41	102
29	42	100
30	45	101
31	46	98
32	47	96
33	48	94
34	50	93
35	54	97
36	56	96
37	57	93
38	58	91
39	59	89
40	61	87
41	62	85
42	63	83
43	64	81
44	65	79
45	66	77
46	67	76
47	68	74
48	69	72
49	71	71
50	72	69
51	73	67
52	74	65
53	75	64
54	77	63
55	78	61
56	80	60
57	82	59
58	83	57
59	84	56
60	86	55
61	87	53
62	88	52
63	89	50
64	91	49
65	92	47
66	93	45
67	93	44
68	94	42
69	95	40
70	96	39
71	97	37
72	98	36
73	98	34
74	99	33
75	100	31
76	101	30
77	102	28
78	103	27
79	104	26
80	105	24
81	105	23
82	106	21
83	107	20
84	107	19
85	108	17
86	109	16
87	110	15
88	111	13
89	112	12
90	112	11
91	114	9
92	115	8
93	116	7
94	117	6
95	118	4
96	120	3
97	125	2
98	126	1
99	127	0
